Floating holiday for New Year's Day on Thursday, 1-Jan-2026 in Bengaluru
Floating holiday for Christian New Year Day on Thursday, 1-Jan-2026 in Bengaluru
Floating holiday for Mannam Jayanthi on Friday, 2-Jan-2026 in Bengaluru
Floating holiday for Hazrat Ali Jayanti on Saturday, 3-Jan-2026 in Bengaluru
Floating holiday for Birthday of Hazrath Ali (R.A) on Saturday, 3-Jan-2026 in Bengaluru
Floating holiday for Guru Govind Singh Jayanti on Monday, 5-Jan-2026 in Bengaluru
Floating holiday for Guru Gobind Singh's Birthday on Tuesday, 6-Jan-2026 in Bengaluru
Floating holiday for Birthday of Swami Vivekananda on Monday, 12-Jan-2026 in Bengaluru
Floating holiday for Lohari Parv on Tuesday, 13-Jan-2026 in Bengaluru
Floating holiday for Makar Sankranti on Wednesday, 14-Jan-2026 in Bengaluru
Floating holiday for Magh Bihu on Wednesday, 14-Jan-2026 in Bengaluru
Floating holiday for Pongal on Wednesday, 14-Jan-2026 in Bengaluru
Floating holiday for Bhogi on Wednesday, 14-Jan-2026 in Bengaluru
Mandatory holiday for Sankranti on Thursday, 15-Jan-2026 in Bengaluru
Mandatory holiday for Makar Sankranti on Thursday, 15-Jan-2026 in Bengaluru
Mandatory holiday for Pongal on Thursday, 15-Jan-2026 in Bengaluru
Floating holiday for Thiruvalluvar Day on Friday, 16-Jan-2026 in Bengaluru
Floating holiday for Kanumu on Friday, 16-Jan-2026 in Bengaluru
Floating holiday for Uzhavar Thirunal on Saturday, 17-Jan-2026 in Bengaluru
Floating holiday for Sheb-E-Meraj on Saturday, 17-Jan-2026 in Bengaluru
Floating holiday for Day before Saraswati Puja on Thursday, 22-Jan-2026 in Bengaluru
Floating holiday for Sri Panchami on Friday, 23-Jan-2026 in Bengaluru
Floating holiday for Sir Chottu Ram jayanti on Friday, 23-Jan-2026 in Bengaluru
Floating holiday for Basanta Panchami on Friday, 23-Jan-2026 in Bengaluru
Floating holiday for Vir Surendrasai Jayanti on Friday, 23-Jan-2026 in Bengaluru
Floating holiday for Subash Chandra Bose Jayanti on Friday, 23-Jan-2026 in Bengaluru
Floating holiday for Jananayak Karpoori Thakur Birth Anniversary on Saturday, 24-Jan-2026 in Bengaluru
Floating holiday for Dev Narayan Jayanti on Sunday, 25-Jan-2026 in Bengaluru
Mandatory holiday for Republic Day on Monday, 26-Jan-2026 in Bengaluru
Floating holiday for Sri Madvanavami on Tuesday, 27-Jan-2026 in Bengaluru
Floating holiday for Swami Ramcharan Jayanti on Saturday, 31-Jan-2026 in Bengaluru
Floating holiday for Vishwakarma Jayanti on Saturday, 31-Jan-2026 in Bengaluru
Floating holiday for Vishvakarma Jayanti (Maha Sud -13) on Saturday, 31-Jan-2026 in Bengaluru
Floating holiday for Saint Shiromani Ravidasji's Birthday on Sunday, 1-Feb-2026 in Bengaluru
Floating holiday for Guru Ravidas Jayanti on Sunday, 1-Feb-2026 in Bengaluru
Floating holiday for Thai Poosam on Sunday, 1-Feb-2026 in Bengaluru
Floating holiday for Birthday of Guru Rabidas on Sunday, 1-Feb-2026 in Bengaluru
Floating holiday for Shab-E-Barath* on Tuesday, 3-Feb-2026 in Bengaluru
Floating holiday for Shab-e-Barath on Wednesday, 4-Feb-2026 in Bengaluru
Floating holiday for Shab-e-Barat on Wednesday, 4-Feb-2026 in Bengaluru
Floating holiday for Birthday of Dhani Matang Dev on Wednesday, 4-Feb-2026 in Bengaluru
Floating holiday for Birthday of Swami Dayananda Saraswati on Thursday, 12-Feb-2026 in Bengaluru
Floating holiday for Maharshi Dayanand Saraswati Jayanti on Thursday, 12-Feb-2026 in Bengaluru
Floating holiday for Guru Brahmanand Jayanti on Thursday, 12-Feb-2026 in Bengaluru
Floating holiday for Birthday of Thakur Panchanan Barma on Saturday, 14-Feb-2026 in Bengaluru
Floating holiday for Maha Shivratri (Maha Vad - 13) on Sunday, 15-Feb-2026 in Bengaluru
Floating holiday for Mahasivarathri on Sunday, 15-Feb-2026 in Bengaluru
Floating holiday for Next Day of Mahashivaratri on Monday, 16-Feb-2026 in Bengaluru
Floating holiday for Chhatrapati Shivaji Maharaj Jayanti on Thursday, 19-Feb-2026 in Bengaluru
Floating holiday for Shiva ji Jayanti on Thursday, 19-Feb-2026 in Bengaluru
Floating holiday for Gadge Maharaj Jayanti on Monday, 23-Feb-2026 in Bengaluru
Floating holiday for Holika Dahan on Monday, 2-Mar-2026 in Bengaluru
Floating holiday for Holi Festival on Monday, 2-Mar-2026 in Bengaluru
Floating holiday for Dolyatra on Tuesday, 3-Mar-2026 in Bengaluru
Floating holiday for Holika Dahan on Tuesday, 3-Mar-2026 in Bengaluru
Floating holiday for Holi on Tuesday, 3-Mar-2026 in Bengaluru
Floating holiday for Dola Purnima on Tuesday, 3-Mar-2026 in Bengaluru
Floating holiday for Holi (Day after Doljatra) on Wednesday, 4-Mar-2026 in Bengaluru
Floating holiday for Ayya Vaikunda Swami Jayanthi on Wednesday, 4-Mar-2026 in Bengaluru
Floating holiday for Holi on Wednesday, 4-Mar-2026 in Bengaluru
Floating holiday for Holi on Thursday, 5-Mar-2026 in Bengaluru
Floating holiday for Shahadat Hzt Ali (R.A) on Tuesday, 10-Mar-2026 in Bengaluru
Floating holiday for Shahadat-e-Hazarat Ali on Wednesday, 11-Mar-2026 in Bengaluru
Floating holiday for Sant Ladhu nath Ji Jayanti on Thursday, 12-Mar-2026 in Bengaluru
Floating holiday for Jumat-Ul-Vida (Last day of ramzan) on Friday, 13-Mar-2026 in Bengaluru
Floating holiday for Jumuatul Wada on Friday, 13-Mar-2026 in Bengaluru
Floating holiday for Hasan Khan Mewati Shaheed Diwas on Sunday, 15-Mar-2026 in Bengaluru
Floating holiday for Birth Day of Shri Shri Harichand Thakur (Madhu Krishna Troyodashi Tithi) on Tuesday, 17-Mar-2026 in Bengaluru
Floating holiday for Sab-E-Quadar on Tuesday, 17-Mar-2026 in Bengaluru
Floating holiday for Chetichand on Thursday, 19-Mar-2026 in Bengaluru
Floating holiday for Gudi Padvo (Chaitra Sud - 1) on Thursday, 19-Mar-2026 in Bengaluru
Floating holiday for Gudhi Padwa on Thursday, 19-Mar-2026 in Bengaluru
Floating holiday for Ugadi Festival on Thursday, 19-Mar-2026 in Bengaluru
Floating holiday for Cheti Chand on Thursday, 19-Mar-2026 in Bengaluru
Floating holiday for Telugu New Year's Day on Thursday, 19-Mar-2026 in Bengaluru
Floating holiday for Chaitra Sukladi on Thursday, 19-Mar-2026 in Bengaluru
Floating holiday for Cheti Chand on Friday, 20-Mar-2026 in Bengaluru
Floating holiday for Day before Eid-Ul-Fitr on Friday, 20-Mar-2026 in Bengaluru
Floating holiday for Jumat-Ul-Vida on Friday, 20-Mar-2026 in Bengaluru
Floating holiday for Jamshedi Navroz (Parsi Shahenshahi & Parsi Kadmi) on Saturday, 21-Mar-2026 in Bengaluru
Floating holiday for Ramjan-Eid (Eid-Ul-Fitra) (1st Shawaal) on Saturday, 21-Mar-2026 in Bengaluru
Floating holiday for Id-ul-Fitre on Saturday, 21-Mar-2026 in Bengaluru
Floating holiday for Eid-Ul-Fitr on Sunday, 22-Mar-2026 in Bengaluru
Floating holiday for Following Day of Ramzan on Sunday, 22-Mar-2026 in Bengaluru
Floating holiday for Ramjan-Ed (Id-Ul-Fitra) (2nd Shawaal) on Sunday, 22-Mar-2026 in Bengaluru
Floating holiday for Martyrdom Day of Bhagat Singh on Monday, 23-Mar-2026 in Bengaluru
Floating holiday for Rajguru & Sukhdev on Monday, 23-Mar-2026 in Bengaluru
Floating holiday for Devara Daseemaiah Jayanthi on Monday, 23-Mar-2026 in Bengaluru
Floating holiday for Shaheedi Diwas on Monday, 23-Mar-2026 in Bengaluru
Floating holiday for Ram Navami on Thursday, 26-Mar-2026 in Bengaluru
Floating holiday for Shree Ram Navami on Thursday, 26-Mar-2026 in Bengaluru
Floating holiday for Sri Ramanavami on Friday, 27-Mar-2026 in Bengaluru
Floating holiday for Sri Rama Navami on Friday, 27-Mar-2026 in Bengaluru
Floating holiday for Shree Rama Navami on Friday, 27-Mar-2026 in Bengaluru
Floating holiday for Mahaveer Jayanthi on Tuesday, 31-Mar-2026 in Bengaluru
Floating holiday for Mahavir Janma Kalyanak on Tuesday, 31-Mar-2026 in Bengaluru
Floating holiday for Mahavir Jayanti on Tuesday, 31-Mar-2026 in Bengaluru
Floating holiday for Hatkeshvar Jayanti on Wednesday, 1-Apr-2026 in Bengaluru
Floating holiday for Utkal Divas on Wednesday, 1-Apr-2026 in Bengaluru
Floating holiday for Maundy Thursday on Thursday, 2-Apr-2026 in Bengaluru
Floating holiday for Pesah (1st Day)(Yahudi) on Thursday, 2-Apr-2026 in Bengaluru
Floating holiday for Hanuman Jayanti (Chaitra Sud-15) on Thursday, 2-Apr-2026 in Bengaluru
Floating holiday for Good Friday on Friday, 3-Apr-2026 in Bengaluru
Floating holiday for Easter Saturday on Saturday, 4-Apr-2026 in Bengaluru
Floating holiday for Holy Saturday on Saturday, 4-Apr-2026 in Bengaluru
Floating holiday for Easter on Sunday, 5-Apr-2026 in Bengaluru
Floating holiday for Easter Sunday on Sunday, 5-Apr-2026 in Bengaluru
Floating holiday for Babu Jagjivan Ram's Birthday on Sunday, 5-Apr-2026 in Bengaluru
Floating holiday for Maharishi Kashyap and Maharaja Nishadraj Raj Guhay Jayanti on Sunday, 5-Apr-2026 in Bengaluru
Floating holiday for Easter Monday on Monday, 6-Apr-2026 in Bengaluru
Floating holiday for Mahatma Jyotiba Phule Jayanti on Saturday, 11-Apr-2026 in Bengaluru
Floating holiday for Maha Prabhuji's Praktyotsava (Vallabhacharya Jayanit) on Monday, 13-Apr-2026 in Bengaluru
